stage,alzheimers_health_index,parkinsons_health_index,pruning_health_index
0,0.9844,0.9821,0.9833
1,0.985,0.9843,0.9817
2,0.985,0.9797,0.98
3,0.985,0.9817,0.98
4,0.985,0.9788,0.975
5,0.985,0.9776,0.975
6,0.985,0.9764,0.9733
7,0.985,0.9751,0.9733
8,0.985,0.9739,0.9717
9,0.985,0.9727,0.9683
10,0.985,0.9715,0.9633
11,0.985,0.9701,0.9633
12,0.985,0.9689,0.96
13,0.985,0.9677,0.9417
14,0.985,0.9665,0.94
15,0.985,0.9652,0.925
16,0.985,0.964,0.92
17,0.985,0.9628,0.9167
18,0.985,0.9616,0.91
19,0.985,0.9602,0.8833
