cell_type,brain_region,neuron_count,total_receptor_density,mean_betweenness,mean_degree,susceptibility_score,primary_target_family,family_expression
giant_fiber,mushroom_body,10,4.3342,0.0,0.0,1.7337,nAChR,"{'nAChR': 0.671, 'GABAR': 0.365, 'DopR': 0.22, 'GluR': 0.285}"
kenyon_cell,mushroom_body,25,4.2372,0.0002,0.0018,1.7,nAChR,"{'nAChR': 0.55, 'GABAR': 0.393, 'DopR': 0.226, 'GluR': 0.365}"
kenyon_cell,ventral_nerve_cord,40,4.0958,0.0001,0.0016,1.6428,nAChR,"{'nAChR': 0.48, 'GABAR': 0.458, 'DopR': 0.198, 'GluR': 0.345}"
central_complex,optic_lobe,19,4.0945,0.0002,0.0005,1.6399,nAChR,"{'nAChR': 0.634, 'GABAR': 0.336, 'DopR': 0.131, 'GluR': 0.395}"
giant_fiber,antennal_lobe,8,4.0649,0.0,0.0,1.626,GABAR,"{'nAChR': 0.459, 'GABAR': 0.465, 'DopR': 0.212, 'GluR': 0.329}"
motor,ventral_nerve_cord,80,4.0232,0.0005,0.0009,1.6135,nAChR,"{'nAChR': 0.517, 'GABAR': 0.407, 'DopR': 0.174, 'GluR': 0.365}"
interneuron,central_brain,141,4.0142,0.0002,0.0016,1.6102,nAChR,"{'nAChR': 0.522, 'GABAR': 0.379, 'DopR': 0.204, 'GluR': 0.35}"
central_complex,ventral_nerve_cord,17,4.0166,0.0,0.0,1.6066,nAChR,"{'nAChR': 0.467, 'GABAR': 0.455, 'DopR': 0.167, 'GluR': 0.375}"
sensory,mushroom_body,76,3.9703,0.0001,0.0014,1.5921,nAChR,"{'nAChR': 0.467, 'GABAR': 0.379, 'DopR': 0.202, 'GluR': 0.414}"
giant_fiber,ventral_nerve_cord,15,3.9556,0.0014,0.0013,1.5906,nAChR,"{'nAChR': 0.564, 'GABAR': 0.382, 'DopR': 0.109, 'GluR': 0.394}"
sensory,optic_lobe,98,3.9654,0.0005,0.001,1.5903,nAChR,"{'nAChR': 0.492, 'GABAR': 0.421, 'DopR': 0.148, 'GluR': 0.39}"
motor,antennal_lobe,83,3.9655,0.0001,0.0007,1.5882,nAChR,"{'nAChR': 0.488, 'GABAR': 0.426, 'DopR': 0.154, 'GluR': 0.381}"
motor,optic_lobe,75,3.9612,0.0004,0.0007,1.5877,nAChR,"{'nAChR': 0.487, 'GABAR': 0.431, 'DopR': 0.16, 'GluR': 0.364}"
interneuron,mushroom_body,188,3.9494,0.0002,0.0016,1.5844,nAChR,"{'nAChR': 0.492, 'GABAR': 0.398, 'DopR': 0.173, 'GluR': 0.379}"
central_complex,central_brain,23,3.9562,0.0,0.0007,1.5842,nAChR,"{'nAChR': 0.425, 'GABAR': 0.395, 'DopR': 0.215, 'GluR': 0.424}"
motor,mushroom_body,73,3.942,0.0004,0.0012,1.5812,nAChR,"{'nAChR': 0.533, 'GABAR': 0.328, 'DopR': 0.192, 'GluR': 0.392}"
interneuron,optic_lobe,186,3.9364,0.0002,0.0015,1.579,nAChR,"{'nAChR': 0.478, 'GABAR': 0.402, 'DopR': 0.18, 'GluR': 0.378}"
giant_fiber,central_brain,5,3.9154,0.0,0.003,1.5739,GluR,"{'nAChR': 0.31, 'GABAR': 0.362, 'DopR': 0.277, 'GluR': 0.534}"
sensory,central_brain,84,3.908,0.0005,0.0013,1.5682,nAChR,"{'nAChR': 0.412, 'GABAR': 0.391, 'DopR': 0.23, 'GluR': 0.404}"
sensory,ventral_nerve_cord,88,3.8822,0.0002,0.0018,1.5579,nAChR,"{'nAChR': 0.471, 'GABAR': 0.408, 'DopR': 0.157, 'GluR': 0.388}"
interneuron,antennal_lobe,194,3.8734,0.0003,0.0009,1.5528,nAChR,"{'nAChR': 0.46, 'GABAR': 0.39, 'DopR': 0.193, 'GluR': 0.372}"
interneuron,ventral_nerve_cord,164,3.8185,0.0001,0.0007,1.5296,nAChR,"{'nAChR': 0.486, 'GABAR': 0.356, 'DopR': 0.188, 'GluR': 0.364}"
central_complex,mushroom_body,27,3.7902,0.0006,0.0045,1.5294,nAChR,"{'nAChR': 0.514, 'GABAR': 0.404, 'DopR': 0.127, 'GluR': 0.327}"
motor,central_brain,83,3.8067,0.0002,0.0016,1.5276,nAChR,"{'nAChR': 0.519, 'GABAR': 0.326, 'DopR': 0.177, 'GluR': 0.37}"
kenyon_cell,central_brain,31,3.8057,0.0,0.0011,1.5251,nAChR,"{'nAChR': 0.449, 'GABAR': 0.361, 'DopR': 0.198, 'GluR': 0.393}"
kenyon_cell,optic_lobe,27,3.7713,0.0011,0.0009,1.5146,nAChR,"{'nAChR': 0.427, 'GABAR': 0.301, 'DopR': 0.251, 'GluR': 0.417}"
sensory,antennal_lobe,82,3.76,0.0001,0.0012,1.5074,nAChR,"{'nAChR': 0.476, 'GABAR': 0.36, 'DopR': 0.168, 'GluR': 0.375}"
central_complex,antennal_lobe,22,3.7254,0.0001,0.0014,1.4939,nAChR,"{'nAChR': 0.485, 'GABAR': 0.207, 'DopR': 0.233, 'GluR': 0.475}"
giant_fiber,optic_lobe,6,3.7268,0.0,0.0,1.4907,nAChR,"{'nAChR': 0.485, 'GABAR': 0.312, 'DopR': 0.226, 'GluR': 0.328}"
kenyon_cell,antennal_lobe,30,3.6948,0.0001,0.0013,1.4816,GluR,"{'nAChR': 0.488, 'GABAR': 0.305, 'DopR': 0.106, 'GluR': 0.5}"
